open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704646800000,1.828100,1.889300,1.809600,1.871900,30665542.5,1704650399999,57045064.7224000,132923,15566595.9,28975363.8271200,0
1704650400000,1.872000,1.879500,1.856700,1.861900,13678240.9,1704653999999,25550045.3869300,59029,6721559.8,12557938.4251700,0
1704654000000,1.861800,1.867900,1.847300,1.857900,7960157.0,1704657599999,14794338.4058700,43384,3779938.2,7027886.9076200,0
1704657600000,1.857900,1.872500,1.840300,1.842100,8708981.3,1704661199999,16149800.3408300,43217,3737883.7,6933602.2928200,0
1704661200000,1.842300,1.851100,1.830000,1.835100,6555281.2,1704664799999,12067549.2938800,34989,2961886.3,5454135.0373000,0
1704664800000,1.835000,1.835000,1.750000,1.762700,28272927.2,1704668399999,50535355.0900100,121204,12338992.5,22065644.5876900,0
1704668400000,1.762800,1.785300,1.671100,1.720900,48945639.6,1704671999999,84147086.4014200,173020,22901502.7,39378646.1389500,0
1704672000000,1.721100,1.735400,1.631900,1.636400,30918511.5,1704675599999,52262313.4637200,134468,13619062.7,23066403.5203600,0
1704675600000,1.636100,1.681100,1.628700,1.659400,25863146.9,1704679199999,42877594.3442600,110363,12892881.5,21384318.3410000,0
1704679200000,1.659300,1.671900,1.589000,1.622500,31059880.1,1704682799999,50651450.9534200,129642,14418074.5,23538667.6535600,0
1704682800000,1.622600,1.634400,1.567300,1.625800,31251812.1,1704686399999,50189396.9659100,125308,15140829.3,24334940.4275400,0
1704686400000,1.625900,1.652400,1.611500,1.644200,15490990.8,1704689999999,25299151.5108000,66439,8221261.4,13434202.0525600,0
1704690000000,1.644100,1.649400,1.625200,1.645400,10847367.7,1704693599999,17772055.7921200,47100,5438986.0,8912657.0248600,0
1704693600000,1.645300,1.681100,1.629200,1.650100,26782027.6,1704697199999,44386699.8332500,105074,13612919.4,22566748.5967900,0
1704697200000,1.650100,1.699400,1.648200,1.676400,18707074.7,1704700799999,31354694.0448500,78868,9741392.9,16328153.6391500,0
1704700800000,1.676500,1.720000,1.672900,1.674900,23451544.2,1704704399999,39837820.0706100,92230,10970393.0,18644513.4065700,0
1704704400000,1.675500,1.691000,1.651300,1.662300,15953285.2,1704707999999,26691580.1072000,68167,7514006.3,12579479.1957900,0
1704708000000,1.662200,1.690700,1.653300,1.676300,14700360.0,1704711599999,24620889.1592900,60770,7296669.8,12223072.3828900,0
1704711600000,1.676200,1.702900,1.672400,1.698800,14206589.7,1704715199999,23961725.3939900,60320,7086144.4,11954478.5472400,0
1704715200000,1.698700,1.750400,1.694400,1.742500,40079435.1,1704718799999,69084647.0867500,155745,20170412.7,34773958.1539600,0
1704718800000,1.742400,1.775700,1.716800,1.763700,40875930.7,1704722399999,71523667.5114800,148565,19576281.6,34265305.4971400,0
1704722400000,1.763700,1.788200,1.737700,1.741900,27060054.0,1704725999999,47684518.2396800,106188,12630341.6,22265939.8171400,0
1704726000000,1.741800,1.789900,1.733800,1.770100,22005593.3,1704729599999,38807607.4002100,87470,10257944.0,18092658.7076300,0
1704729600000,1.770200,1.781200,1.748200,1.752200,15141566.2,1704733199999,26680562.1546800,70808,6784389.5,11955299.3077400,0
